State,id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute
Alabama,1,142.9,134.2,139.2,140.3,142.6,144.3,146.6,148.2,140.4,120.7,133.3,130.3,123.6,121.1,123.4,120,114.8,109.5,113.3,-20.70%,-29.6
Alaska,2,44.4,43.5,43.7,43.7,46.9,48.2,45.9,44.2,39.6,38,37.9,37.8,36.8,34.8,34.5,35.5,34,34.4,35.1,-21.00%,-9.3
Arizona,4,86.4,88.7,88.1,90.1,97.1,97.2,100.3,102.3,102.6,93.8,99,97.2,95,99,97.1,94.7,90.7,90.3,93.9,8.70%,7.5
Arkansas,5,63.8,63,61.5,62.3,62.7,60.4,62.2,63.5,64.4,61.7,66.1,67.5,66.3,68.7,69.2,59.4,62.5,64.5,71.1,11.50%,7.3
California,6,376.8,381.3,379.7,368.7,386.6,383.8,392.2,397.2,381.2,368,355.3,340.9,346.6,348.2,344,351,352.3,355.3,356.6,-5.40%,-20.2
Colorado,8,85,93.1,91.3,90.8,93.7,95.9,96.9,99.5,97.6,93.5,96.3,92.9,91.6,92.6,93.4,91.9,89,89.3,90.6,6.60%,5.6
Connecticut,9,43,41.7,40.1,42.8,44.6,44.1,41.1,40.2,37.7,35.9,36.5,35.1,34.4,34.8,35.2,36.5,34.3,34.1,37.6,-12.50%,-5.4
Delaware,10,16,15.5,15.3,15.8,16.1,16.8,15.8,16.6,15.7,12,11.7,12.6,13.7,13.3,13,13.1,13.7,13,13.3,-16.80%,-2.7
District of Columbia,11,4.3,4.1,4.2,3.9,4,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.7,2.8,3,3,2.8,2.6,2.9,-33.10%,-1.4
Florida,12,240.2,239,242.4,246.7,258.1,261.4,259.7,257.4,239,224.7,246.1,233,227.6,227.8,234.1,238.6,240.2,239.5,243.2,1.30%,3
Georgia,13,169.2,161.4,166.3,169.5,174.8,185.3,182.6,185.3,172.6,162.7,175.6,160.4,142.2,143.7,149.1,146.7,145.6,142.7,142.8,-15.60%,-26.3
Hawaii,15,18.8,19.3,20.5,21.5,22.5,23.1,23.3,24.2,19.4,19,20.4,20.6,20.2,20.1,19.4,19.6,19.8,20.5,20.5,9.10%,1.7
Idaho,16,15.7,15.6,15,14.4,15.6,15.8,15.8,16.3,15.5,15.2,16,15.8,15.6,17.1,16.7,17.9,18.3,18.6,19,21.00%,3.3
Illinois,17,232.8,224.1,226.6,230.3,237.5,243.8,235.6,243.2,241.7,226.6,233.7,232.4,219.2,233.1,236.7,219,206.9,205.4,212.2,-8.90%,-20.6
Indiana,18,237.9,227.5,230.6,236.8,236.2,235.2,232.9,232.7,228.3,205.4,216.4,208.4,193.8,199.5,205.2,185.8,181.7,176.2,188.8,-20.60%,-49
Iowa,19,79.5,78.4,79.1,78.8,80.9,80.9,82.2,87.4,91.2,86.3,90.9,87.8,81.5,82.8,83.9,77.9,74.5,76.9,82.8,4.20%,3.3
Kansas,20,75.9,71.7,76.8,78.6,75.6,72.1,72.3,80,74.6,72.9,72,70.2,65.4,69.3,69.8,63.9,62,58.5,62.3,-17.90%,-13.6
Kentucky,21,144.5,146,146.7,143,148.4,150.7,153,153.5,151.1,140.7,151.1,150.4,139.2,138.6,139.3,129.4,124.4,115.4,121.2,-16.10%,-23.3
Louisiana,22,224.7,197.7,206.9,202.7,212.4,205.1,211.6,212.4,214.2,200.1,206.1,210.3,199.6,192.3,190.1,190.6,193.4,199.8,199.3,-11.30%,-25.4
Maine,23,22.4,22.5,24,23.7,24,23.1,21.3,21,19.1,18.4,17.7,17.2,15.5,16.3,16.4,16.6,16.1,15.3,14.8,-34.00%,-7.6
Maryland,24,77.6,77.3,77.4,80.3,81,83.2,78.2,78.5,74.7,71.4,71.2,66.7,62.1,61.5,64.2,62.3,60.5,55,61.7,-20.50%,-15.9
Massachusetts,25,82.5,82.4,83.3,84.7,83,84.6,76.6,79.9,76.7,70.3,72.9,68.9,62.7,66.8,65.4,67.2,64.6,65.2,64.6,-21.80%,-18
Michigan,26,194.6,190.4,189.7,186.6,189,191.2,179.9,182,175.7,164.7,167.7,162.7,155.7,164.4,164.3,165,154.9,155.9,164.1,-15.60%,-30.4
Minnesota,27,97.7,94.7,97.3,101.4,100.7,101.8,99,100.6,100.1,92.4,92.2,91.6,86.7,91.4,96.6,89.9,91.6,91.7,95.2,-2.50%,-2.5
Mississippi,28,61.3,70,62.6,64.3,65.8,64.1,66.1,68.2,64.7,60.6,63.3,58.3,59.9,56.9,59.7,61.2,62.3,60.5,63.4,3.40%,2.1
Missouri,29,125.6,130.3,131.5,138.5,139.1,142.1,140.2,139.2,135.9,130.3,135.3,135.7,127.8,133.4,132.9,123.6,119.2,124.9,124.7,-0.70%,-0.9
Montana,30,30.6,31.8,30.1,32.4,34,35.1,35.3,36.7,36,32.5,34.6,31.7,30.4,31.7,32.2,32.1,30.8,30.8,30.8,0.80%,0.2
Nebraska,31,41.8,43.1,42.6,43.7,43.5,43.9,44.5,44.8,46.8,47.5,50,52.5,50.7,53.6,52.3,50.8,48.5,48.1,52.5,25.70%,10.7
Nevada,32,45.5,44.8,41.6,43.8,48,50.1,41.6,41.7,40.9,39.5,40.9,37.5,37.5,39.4,40.1,38.1,39.6,39.7,41,-9.80%,-4.5
New Hampshire,33,17.5,17,17.7,21,22,21.3,19.4,19.2,18.8,17.1,16.7,16.3,14.7,14.5,15.2,15.3,13.8,13.6,14.3,-18.60%,-3.3
New Jersey,34,122.3,119.7,119.8,121.2,123.7,128.5,121.4,128.9,126.6,109.6,105.5,103.9,98.4,100.8,105,103.9,105.8,99.4,105.4,-13.80%,-16.9
New Mexico,35,58.2,58.4,55.4,57.7,58.8,59.4,59.9,59.1,56.5,57.4,53.3,55.7,53.7,53.3,50.2,50.2,48.4,49.1,45.4,-22.10%,-12.9
New York,36,211.7,206,200.3,211,213.3,209.6,191.1,197.7,187.8,172.1,185.7,175.7,168,170,177.8,175.6,171,166.9,175.9,-16.90%,-35.8
